"p","arc_length","Points:0","Points:1","Points:2"
-4.8708,0,-0.30561,0.37871,0.013302
-4.8813,0.0016335,-0.3056,0.3787,0.014935
-4.8808,0.003249,-0.3056,0.3787,0.016551
-4.8404,0.0048895,-0.3056,0.3787,0.018191
-4.7859,0.0064804,-0.3056,0.3787,0.019782
-4.7527,0.0080338,-0.3056,0.3787,0.021335
-4.7106,0.0095691,-0.3056,0.3787,0.022871
-4.6739,0.011097,-0.3056,0.3787,0.024399
-4.646,0.012623,-0.3056,0.3787,0.025925
-4.6122,0.014148,-0.3056,0.3787,0.02745
-4.5767,0.015673,-0.3056,0.3787,0.028975
-4.5355,0.017198,-0.3056,0.3787,0.0305
-4.4924,0.018723,-0.3056,0.3787,0.032025
-4.4676,0.020248,-0.3056,0.3787,0.03355
-4.4498,0.021773,-0.3056,0.3787,0.035075
-4.4302,0.023298,-0.3056,0.3787,0.0366
-4.4156,0.024823,-0.3056,0.3787,0.038125
-4.4155,0.026348,-0.3056,0.3787,0.03965
-4.3648,0.027873,-0.3056,0.3787,0.041175
-4.2878,0.029398,-0.3056,0.3787,0.0427
-4.187,0.030923,-0.3056,0.3787,0.044225
-4.1,0.032448,-0.3056,0.3787,0.04575
-4.0957,0.033973,-0.3056,0.3787,0.047275
-4.0897,0.035498,-0.3056,0.3787,0.0488
-4.0648,0.037023,-0.3056,0.3787,0.050325
-4.0391,0.038548,-0.3056,0.3787,0.05185
-4.0136,0.040073,-0.3056,0.3787,0.053375
-3.9892,0.041598,-0.3056,0.3787,0.0549
-3.966,0.043123,-0.3056,0.3787,0.056425
-3.9436,0.044648,-0.3056,0.3787,0.05795
-3.9225,0.046173,-0.3056,0.3787,0.059475
-3.9024,0.047698,-0.3056,0.3787,0.061
-3.8834,0.049223,-0.3056,0.3787,0.062525
-3.8657,0.050748,-0.3056,0.3787,0.06405
-3.8488,0.052273,-0.3056,0.3787,0.065575
-3.8322,0.053798,-0.3056,0.3787,0.0671
-3.8165,0.055323,-0.3056,0.3787,0.068625
-3.8008,0.056848,-0.3056,0.3787,0.07015
-3.7857,0.058373,-0.3056,0.3787,0.071675
-3.7722,0.059898,-0.3056,0.3787,0.0732
-3.7568,0.061423,-0.3056,0.3787,0.074725
-3.7428,0.062948,-0.3056,0.3787,0.07625
-3.7297,0.064473,-0.3056,0.3787,0.077775
-3.7165,0.065998,-0.3056,0.3787,0.0793
-3.7043,0.067523,-0.3056,0.3787,0.080825
-3.6922,0.069048,-0.3056,0.3787,0.08235
-3.6809,0.070573,-0.3056,0.3787,0.083875
-3.6699,0.072098,-0.3056,0.3787,0.0854
-3.6594,0.073623,-0.3056,0.3787,0.086925
-3.6493,0.075148,-0.3056,0.3787,0.08845
-3.6396,0.076673,-0.3056,0.3787,0.089975
-3.6303,0.078198,-0.3056,0.3787,0.0915
-3.6213,0.079723,-0.3056,0.3787,0.093025
-3.6127,0.081248,-0.3056,0.3787,0.09455
-3.6044,0.082773,-0.3056,0.3787,0.096075
-3.5964,0.084298,-0.3056,0.3787,0.0976
-3.5886,0.085823,-0.3056,0.3787,0.099125
-3.5811,0.087348,-0.3056,0.3787,0.10065
-3.5741,0.088873,-0.3056,0.3787,0.10217
-3.5675,0.090398,-0.3056,0.3787,0.1037
-3.561,0.091923,-0.3056,0.3787,0.10522
-3.5545,0.093448,-0.3056,0.3787,0.10675
-3.5484,0.094973,-0.3056,0.3787,0.10827
-3.5425,0.096498,-0.3056,0.3787,0.1098
-3.5369,0.098023,-0.3056,0.3787,0.11133
-3.5314,0.099548,-0.3056,0.3787,0.11285
-3.5261,0.10107,-0.3056,0.3787,0.11438
-3.521,0.1026,-0.3056,0.3787,0.1159
-3.5161,0.10412,-0.3056,0.3787,0.11743
-3.5113,0.10565,-0.3056,0.3787,0.11895
-3.5066,0.10717,-0.3056,0.3787,0.12048
-3.5021,0.1087,-0.3056,0.3787,0.122
-3.4977,0.11022,-0.3056,0.3787,0.12353
-3.4934,0.11175,-0.3056,0.3787,0.12505
-3.4893,0.11327,-0.3056,0.3787,0.12657
-3.4854,0.1148,-0.3056,0.3787,0.1281
-3.4816,0.11632,-0.3056,0.3787,0.12962
-3.478,0.11785,-0.3056,0.3787,0.13115
-3.4744,0.11937,-0.3056,0.3787,0.13268
-3.471,0.1209,-0.3056,0.3787,0.1342
-3.4677,0.12242,-0.3056,0.3787,0.13573
-3.4645,0.12395,-0.3056,0.3787,0.13725
-3.4615,0.12547,-0.3056,0.3787,0.13878
-3.4586,0.127,-0.3056,0.3787,0.1403
-3.4558,0.12852,-0.3056,0.3787,0.14183
-3.453,0.13005,-0.3056,0.3787,0.14335
-3.4504,0.13157,-0.3056,0.3787,0.14488
-3.4479,0.1331,-0.3056,0.3787,0.1464
-3.4453,0.13462,-0.3056,0.3787,0.14793
-3.4428,0.13615,-0.3056,0.3787,0.14945
-3.4404,0.13767,-0.3056,0.3787,0.15098
-3.4382,0.1392,-0.3056,0.3787,0.1525
-3.4359,0.14072,-0.3056,0.3787,0.15403
-3.4337,0.14225,-0.3056,0.3787,0.15555
-3.4316,0.14377,-0.3056,0.3787,0.15708
-3.4295,0.1453,-0.3056,0.3787,0.1586
-3.4274,0.14682,-0.3056,0.3787,0.16013
-3.4254,0.14835,-0.3056,0.3787,0.16165
-3.4235,0.14987,-0.3056,0.3787,0.16318
-3.4217,0.1514,-0.3056,0.3787,0.1647
-3.4199,0.15292,-0.3056,0.3787,0.16623
-3.4182,0.15445,-0.3056,0.3787,0.16775
-3.4166,0.15597,-0.3056,0.3787,0.16928
-3.415,0.1575,-0.3056,0.3787,0.1708
-3.4134,0.15902,-0.3056,0.3787,0.17233
-3.4118,0.16055,-0.3056,0.3787,0.17385
-3.4102,0.16207,-0.3056,0.3787,0.17537
-3.4087,0.1636,-0.3056,0.3787,0.1769
-3.4074,0.16512,-0.3056,0.3787,0.17842
-3.4061,0.16665,-0.3056,0.3787,0.17995
-3.4048,0.16817,-0.3056,0.3787,0.18147
-3.4035,0.1697,-0.3056,0.3787,0.183
-3.4022,0.17122,-0.3056,0.3787,0.18452
-3.401,0.17275,-0.3056,0.3787,0.18605
-3.3997,0.17427,-0.3056,0.3787,0.18757
-3.3984,0.1758,-0.3056,0.3787,0.1891
-3.3972,0.17732,-0.3056,0.3787,0.19062
-3.3959,0.17885,-0.3056,0.3787,0.19215
-3.3949,0.18037,-0.3056,0.3787,0.19367
-3.3937,0.1819,-0.3056,0.3787,0.1952
-3.3926,0.18342,-0.3056,0.3787,0.19672
-3.3915,0.18495,-0.3056,0.3787,0.19825
-3.3903,0.18647,-0.3056,0.3787,0.19977
-3.3893,0.188,-0.3056,0.3787,0.2013
-3.3882,0.18952,-0.3056,0.3787,0.20282
-3.3873,0.19105,-0.3056,0.3787,0.20435
-3.3864,0.19257,-0.3056,0.3787,0.20587
-3.3854,0.1941,-0.3056,0.3787,0.2074
-3.3846,0.19562,-0.3056,0.3787,0.20892
-3.3839,0.19715,-0.3056,0.3787,0.21045
-3.3832,0.19867,-0.3056,0.3787,0.21197
-3.3825,0.2002,-0.3056,0.3787,0.2135
-3.3816,0.20172,-0.3056,0.3787,0.21502
-3.3807,0.20325,-0.3056,0.3787,0.21655
-3.3799,0.20477,-0.3056,0.3787,0.21808
-3.3793,0.2063,-0.3056,0.3787,0.2196
-3.3785,0.20782,-0.3056,0.3787,0.22113
-3.3777,0.20935,-0.3056,0.3787,0.22265
-3.3769,0.21087,-0.3056,0.3787,0.22418
-3.3761,0.2124,-0.3056,0.3787,0.2257
-3.3753,0.21392,-0.3056,0.3787,0.22723
-3.3746,0.21545,-0.3056,0.3787,0.22875
-3.3739,0.21697,-0.3056,0.3787,0.23028
-3.3733,0.2185,-0.3056,0.3787,0.2318
-3.3726,0.22002,-0.3056,0.3787,0.23333
-3.3718,0.22155,-0.3056,0.3787,0.23485
-3.3711,0.22307,-0.3056,0.3787,0.23638
-3.3704,0.2246,-0.3056,0.3787,0.2379
-3.3696,0.22612,-0.3056,0.3787,0.23943
-3.3687,0.22765,-0.3056,0.3787,0.24095
-3.368,0.22917,-0.3056,0.3787,0.24248
-3.3673,0.2307,-0.3056,0.3787,0.244
-3.3665,0.23222,-0.3056,0.3787,0.24553
-3.3659,0.23375,-0.3056,0.3787,0.24705
-3.3653,0.23527,-0.3056,0.3787,0.24858
